State,District,Sulfur (S) Status,Boron (B) Status
Bihar,Muzaffarpur,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Vaishali,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Lakhimpur,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Nalbari,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Barpeta,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Maharashtra,Nagpur,Urban soil sulfur concentration variations,Limited data available
Maharashtra,Wardha,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Amravati,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Yavatmal,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Buldhana,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Akola,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Washim,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Ahmednagar,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Sangli,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Solapur,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Satara,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Kolhapur,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Pune,Agricultural sulfur status in diverse terrains,Limited data available
Maharashtra,Nashik,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Jalgaon,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Aurangabad,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Nanded,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Latur,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Osmanabad,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Parbhani,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Hingoli,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Bhandara,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Gondia,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Chandrapur,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Gadchiroli,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Nandurbar,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Dhule,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Jalna,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Beed,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Maharashtra,Lakhimpur Kheri,"Salinization affecting 44% of area, impacting sulfur availability",Limited data available
Karnataka,Bidar,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Belagavi,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Vijayapura,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Kalaburagi,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Bagalkote,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Raichur,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Koppal,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Gadag,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Haveri,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Dharwad,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Uttara Kannada,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Dakshina Kannada,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Udupi,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Shivamogga,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Chitradurga,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Davanagere,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Ballari,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Chikkamagaluru,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Hassan,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Kodagu,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Mandya,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Mysuru,Agricultural sulfur content in diverse landscapes,Limited data available
Karnataka,Chamarajanagar,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Bengaluru Urban,Urban soil sulfur characteristics,Limited data available
Karnataka,Bengaluru Rural,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Ramanagara,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Kolar,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Chikkaballapura,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Karnataka,Tumkur,"Average soil sulfur deficiency: 11.4% acute, 29.4% deficient, 17.8% latent",Limited data available
Gujarat,Vadodara,Limited data available,Limited data available
Gujarat,Panchmahal,Limited data available,Limited data available
Telangana,Nalgonda,Limited data available,Limited data available
Telangana,East Godavari,Limited data available,Limited data available
