District ,Zn,Fe,Cu,Mn,B,S
Lakhisarai,3.04,4.22,6.39,6.94,3.12,7.04
Ganjam,37.5,0.0,,,41.87,79.28
Sidhi,42.04,83.07,70.16,94.17,56.53,41.68
Kendrapara,84.4,0.0,,,33.54,96.33
Kaimur (Bhabua),50.0,50.0,100.0,100.0,0.0,50.0
Lohit,67.3,98.07,86.61,87.35,100.0,39.16
Chikballapur,32.65,77.13,85.89,98.87,58.08,86.22
Tirunelveli,61.16,86.4,98.38,98.45,58.43,89.4
Damoh,78.8,77.32,94.15,88.45,76.7,83.85
Sangrur,90.91,89.5,99.85,60.88,3.29,88.62
Haveri,9.47,58.32,96.36,98.41,3.2,14.6
Puri,76.1,97.45,90.0,90.91,47.68,90.84
Neemuch,19.36,76.26,99.98,99.91,24.51,0.49
Banas Kantha,83.48,67.8,95.33,99.7,68.68,86.04
Ashoknagar,52.47,71.15,81.4,98.64,43.62,98.04
West Siang,43.52,97.98,89.57,76.11,,69.94
HANUMAKONDA,33.18,57.13,92.47,83.62,71.28,91.46
Dungarpur,49.3,54.91,96.52,78.45,,94.73
Visakhapatanam,58.7,64.93,96.44,78.35,85.4,88.29
Kurung Kumey,76.94,100.0,82.11,93.97,0.0,21.77
Bhandara,23.79,39.56,99.39,92.65,58.3,43.52
Thoubal,82.72,98.95,80.63,99.48,58.64,65.97
Dehradun,94.74,97.35,96.85,89.46,75.23,81.31
Khargone,58.98,25.01,85.83,74.25,82.42,78.17
Madhepura,26.42,53.34,55.18,53.72,0.12,8.44
Lalitpur,68.78,94.58,99.09,90.12,96.72,47.78
Aligarh,66.72,70.57,98.22,89.27,57.9,78.7
Almora,97.83,92.94,72.42,96.45,88.71,96.15
Sivaganga,32.34,72.55,68.22,91.59,33.65,56.24
Doda,31.75,86.21,92.88,81.78,66.67,93.93
Sirmaur,94.9,95.15,96.93,80.02,100.0,54.55
Bijnor,79.96,64.97,93.86,86.79,64.43,65.72
Purnia,35.58,97.87,98.07,83.59,0.84,0.63
Kottayam,95.18,96.04,99.41,96.59,54.12,73.96
Parbhani,51.9,50.26,82.01,96.97,45.24,17.72
Jalna,50.44,9.05,98.12,94.41,37.09,10.38
Hardoi,97.91,97.24,89.4,99.24,95.94,61.24
Tawang,100.0,100.0,100.0,100.0,0.0,100.0
Sirsa,69.43,41.44,94.54,54.04,69.78,94.47
JOGULAMBA GADWAL,56.89,40.57,74.89,45.42,74.5,57.41
Namakkal,46.2,49.77,92.6,67.69,5.7,55.22
NUH,79.35,73.38,93.67,75.53,93.94,88.05
Kollam,95.0,99.38,98.78,96.77,68.7,75.94
Morbi,92.07,70.59,91.52,99.97,13.14,49.62
Gaya,99.71,99.51,99.75,99.65,2.28,2.86
East Garo Hills,,,,,,100.0
Purbi Champaran,7.11,8.13,8.91,7.72,0.54,6.46
Tuticorin,47.33,30.78,93.44,87.7,59.3,78.83
Aurangabad,98.48,98.59,99.0,98.54,0.43,0.37
Vidisha,67.67,87.68,97.2,89.91,88.69,68.09
Nanded,63.63,43.8,96.26,87.38,35.31,72.09
Adilabad,73.33,74.63,82.7,77.48,79.0,80.41
Chamba,96.97,87.88,100.0,100.0,100.0,66.67
South Andamans,80.0,99.59,81.28,98.68,99.34,0.5
Mysore,52.25,42.12,93.5,79.1,63.11,94.37
Siddharth Nagar,12.05,81.56,99.7,65.39,27.38,15.78
Palamu,87.82,98.78,97.13,54.44,91.23,93.67
Khunti,84.78,97.34,96.89,99.67,61.45,85.11
Nalanda,17.52,23.06,31.45,18.84,6.11,24.58
Dadra And Nagar Haveli,93.4,98.88,99.95,100.0,100.0,100.0
KABIRDHAM,74.1,95.05,99.22,95.23,99.35,18.39
Sawai Madhopur,41.22,67.34,97.75,95.24,,88.64
Mulugu,27.53,49.94,92.8,88.76,74.1,96.45
Sahebganj,100.0,100.0,100.0,100.0,100.0,100.0
Anantapur,67.67,65.14,91.88,77.7,73.54,85.9
Udam Singh Nagar,77.31,84.46,90.15,79.85,28.54,76.53
Lawngtlai,,,,,,
Mahe,89.43,93.67,95.18,98.19,0.99,
Raisen,65.88,67.97,93.97,79.09,80.93,56.77
Jashpur,31.08,64.91,93.67,91.81,74.86,39.35
Gumla,84.1,96.9,97.17,93.77,69.01,70.85
Balaghat,83.63,99.21,98.43,99.62,89.32,96.97
Dewas,49.56,84.77,99.53,97.61,65.91,79.7
Zunheboto,62.64,100.0,100.0,97.34,100.0,100.0
Devbhumidwarka,80.37,94.15,97.22,95.82,39.38,93.75
Pondicherry,94.98,84.98,99.16,98.05,0.29,100.0
Gurdaspur,92.26,89.82,99.4,51.8,100.0,82.77
Gautam Buddha Nagar,84.85,68.56,96.89,87.86,82.32,86.94
Ajmer,59.16,65.75,98.01,91.35,0.0,79.15
Tumkur,22.33,51.81,93.99,97.54,31.47,57.37
Perambalur,42.0,2.51,99.1,69.55,6.54,13.99
Goalpara,71.28,99.6,99.97,99.68,1.41,96.49
Kolar,59.91,84.35,97.63,98.38,54.92,74.53
Shimla,95.02,97.16,98.23,89.73,72.73,37.5
Nadia,86.96,97.83,100.0,77.17,71.74,22.83
Pilibhit,44.38,81.54,98.32,76.97,68.63,50.82
Bastar,36.75,90.97,92.5,95.56,21.93,18.83
Khordha,83.69,75.0,100.0,100.0,68.32,96.62
Pratapgarh,75.46,63.71,91.04,94.14,,95.37
Indore,69.1,78.75,96.84,95.21,88.41,84.17
Kanniyakumari,80.52,92.82,97.01,87.85,27.63,77.25
Shahdol,60.46,98.42,96.39,99.05,85.06,96.13
Chitrakoot,67.42,11.32,91.08,69.69,35.08,90.61
Shravasti,90.08,50.14,98.58,87.59,68.18,81.96
Palwal,59.97,59.86,96.86,50.48,54.75,88.34
Seoni,41.47,82.27,96.08,90.18,50.34,84.97
Kachchh,66.26,44.82,86.88,75.77,1.66,97.09
Narayanpur,54.34,91.47,90.01,94.74,66.24,90.13
Virudhunagar,23.35,32.7,83.04,85.94,56.03,75.5
Ambedkar Nagar,76.45,49.66,92.94,59.99,55.89,59.19
Sonipat,82.77,37.68,98.02,35.38,34.42,98.74
Saiha,,,,,,
South Tripura,82.56,99.07,96.8,96.72,80.82,97.48
Rudra Prayag,89.96,81.21,97.7,68.18,69.07,93.96
Jhalawar,72.53,73.24,99.79,97.78,,86.4
Kanpur Dehat,81.95,78.3,98.48,99.3,86.19,39.97
Dahod,47.54,73.8,99.31,95.87,76.24,60.87
Chhotaudepur,78.63,94.98,96.66,99.27,72.01,78.75
Thane,88.76,97.09,99.75,98.86,19.88,85.23
East Kameng,67.76,99.8,71.78,45.95,,7.96
Jhajjar,59.61,60.73,93.92,60.81,40.16,90.49
Kasganj,88.63,84.92,99.72,94.13,58.8,89.68
Y.S.R.,68.61,67.42,92.82,92.72,71.8,86.46
East Nimar,68.86,94.72,99.94,98.78,82.26,90.72
Lower Subansiri,50.0,100.0,50.0,100.0,0.0,0.0
Jhunjhunu,27.73,36.26,94.05,93.76,,86.11
Fatehabad,66.22,32.78,94.65,37.76,68.55,89.88
Barnala,90.36,87.6,99.23,60.37,61.6,88.02
Banda,64.24,27.19,88.12,44.08,45.89,71.36
BELAGAVI,37.52,22.77,95.97,60.9,14.94,31.95
Chhatarpur,54.96,32.61,91.89,50.74,64.88,74.74
Mokokchung,63.83,100.0,95.69,95.67,100.0,100.0
Alappuzha,98.41,99.03,98.72,92.51,31.26,78.07
Narmada,66.12,93.77,99.72,99.75,88.52,85.75
Raipur,65.03,98.28,99.73,99.71,78.16,83.21
Nagapattinam,70.48,95.76,89.95,62.3,48.31,89.76
Leh,54.56,74.44,93.76,68.44,61.95,88.94
Durg,68.84,84.13,99.58,97.55,63.75,54.74
Malkangiri,,,,,,100.0
Jind,72.28,82.34,98.8,67.59,42.83,91.78
Singrauli,86.31,60.23,95.59,71.22,59.83,32.36
Majuli,52.57,99.89,100.0,93.19,0.17,98.34
Anugul,74.64,100.0,100.0,100.0,32.83,75.8
Dhanbad,96.34,98.38,99.51,99.35,92.8,94.55
Malappuram,97.98,99.87,99.94,99.51,79.74,73.59
Changlang,0.0,100.0,66.67,100.0,,100.0
Ukhrul,38.33,100.0,71.67,100.0,75.0,36.67
Rajgarh,21.6,90.57,78.41,94.79,7.93,73.68
Dharwad,7.71,0.39,89.42,68.77,9.73,41.34
Ghazipur,27.43,63.08,98.85,89.48,43.85,22.53
Shahjahanpur,55.22,57.88,96.56,55.5,50.23,53.42
Kangra,98.35,89.1,98.51,97.77,95.98,75.26
Phek,60.28,99.39,99.09,96.01,100.0,99.9
Barabanki,55.48,54.13,85.11,79.67,29.38,45.94
Mamit,,,,,,
Rohtas,1.05,2.19,2.34,2.2,1.86,1.62
Panchkula,93.87,95.04,99.23,80.65,34.54,97.1
Datia,59.76,58.89,93.09,84.48,77.83,92.99
Dausa,64.41,64.43,92.27,86.21,,99.39
Faridkot,90.06,86.95,98.82,54.94,,95.74
Dhenkanal,92.86,,,,19.35,100.0
Ganganagar,40.02,52.93,95.02,96.2,,59.17
Kurnool,60.7,48.45,97.47,91.34,92.75,96.05
Dima Hasao,100.0,100.0,100.0,100.0,0.0,100.0
Imphal West,51.55,98.97,88.66,98.97,53.61,24.74
Namchi,81.58,98.3,92.9,99.43,62.87,98.02
Balrampur,97.02,94.0,98.63,97.76,54.41,84.91
Anjaw,65.1,99.89,81.62,91.86,,71.25
Hailakandi,97.0,99.99,100.0,99.91,0.0,99.99
Sultanpur,91.88,74.31,94.52,88.47,29.78,67.77
Hathras,75.91,51.21,95.36,90.43,70.0,88.76
Guntur,58.3,71.16,98.86,91.4,86.15,86.81
West Tripura,84.03,97.09,98.7,97.45,81.97,90.97
Madurai,68.45,70.98,97.89,81.01,19.57,79.74
Mandsaur,74.69,70.26,95.36,74.01,87.15,87.82
Thiruvananthapuram,91.21,97.07,94.3,94.48,50.94,70.38
Bhilwara,60.02,52.08,96.66,86.89,,97.61
Wayanad,89.37,98.21,99.39,98.04,22.94,8.41
Krishnagiri,98.43,98.24,99.72,98.89,87.35,96.14
Garhwa,57.22,56.33,90.44,83.07,64.69,72.68
NAMSAI,100.0,100.0,100.0,90.91,,100.0
Tiruvannamalai,45.72,80.39,96.2,8.97,41.24,68.87
Mandya,66.18,83.66,96.03,98.12,28.35,51.6
Jorhat,97.6,99.96,99.99,99.38,1.97,99.22
Ratnagiri,80.2,97.37,98.72,99.76,73.08,84.61
Hazaribagh,100.0,100.0,100.0,100.0,100.0,81.98
Bongaigaon,99.79,99.53,99.96,87.64,0.92,99.63
Patan,90.69,63.28,98.07,99.45,79.44,67.87
Ranchi,71.99,98.81,93.51,99.77,70.3,78.51
Shamli,82.12,86.38,99.84,87.67,93.0,72.63
Chandel,25.0,100.0,75.0,100.0,100.0,75.0
Wardha,16.63,5.98,96.9,82.21,42.74,30.55
Karnal,89.55,85.35,98.13,72.54,59.71,95.61
Daman,97.24,97.7,100.0,99.54,0.0,99.54
Bathinda,88.98,75.44,97.27,62.65,81.82,93.47
Mandi,83.11,99.64,98.42,75.93,17.5,98.3
Dhalai,78.27,97.53,99.08,97.46,78.85,93.7
RAJANNA SIRCILLA,74.41,66.91,94.52,89.92,74.89,83.66
Boudh,100.0,,,,,100.0
Sonbhadra,79.57,93.7,99.98,99.42,17.56,99.41
Unakoti,78.7,99.64,95.73,99.41,84.11,99.37
Arwal,69.61,77.58,78.21,77.69,0.12,3.92
Thiruvarur,57.87,99.09,99.83,89.15,80.76,96.11
Faridabad,98.14,97.29,100.0,98.96,100.0,99.91
Fatehgarh Sahib,92.56,92.27,99.35,54.64,0.0,88.0
Surendranagar,82.03,56.06,92.83,96.52,19.64,89.99
Hoshangabad,54.42,85.04,95.67,97.62,72.92,62.58
Lahul And Spiti,92.09,88.79,99.06,75.76,97.0,91.71
Amritsar,74.27,88.91,99.85,45.83,0.0,82.91
Sangli,54.88,54.98,95.81,87.42,76.54,70.21
East Jaintia Hills,,,,,,100.0
S.A.S Nagar,80.51,82.81,99.39,56.36,,82.71
Mahisagar,56.48,95.8,98.79,99.88,90.33,55.8
Pauri Garhwal,87.5,85.84,87.34,85.26,85.07,91.55
Koraput,28.78,78.57,100.0,100.0,60.83,74.72
Giridih,55.83,94.21,84.46,94.65,93.63,25.28
Jharsuguda,30.92,0.0,,,71.35,29.88
MAHABUBABAD,44.39,51.95,89.63,85.13,81.47,89.07
Vaishali,0.11,0.12,0.3,0.17,0.18,0.27
Cuddalore,96.69,99.36,99.87,97.82,12.74,20.96
Darbhanga,96.83,97.1,98.13,95.52,2.8,19.4
Janjgir-Champa,39.6,82.05,95.02,94.06,48.95,88.32
Peren,87.9,100.0,98.19,95.4,100.0,100.0
Sitapur,85.04,90.44,98.29,85.69,88.08,84.12
Kondagaon,32.36,80.06,59.83,85.38,39.43,88.4
Sant Kabeer Nagar,6.33,82.01,99.88,86.98,33.24,22.87
Mahesana,95.36,62.78,99.04,99.54,24.49,98.45
Kohima,49.16,99.44,76.72,86.18,,94.26
Meerut,75.15,74.1,98.81,87.52,86.52,78.47
Kishtwar,74.2,46.32,79.12,52.56,100.0,86.23
Kalahandi,55.98,54.05,90.63,84.38,1.1,44.46
Jhansi,86.45,77.07,98.5,90.78,86.83,85.81
Nuapada,8.33,0.0,0.0,0.0,0.0,0.0
Ayodhya,57.91,4.17,70.56,35.32,56.78,75.64
Srikakulam,81.05,75.77,98.85,91.31,96.76,94.45
Kota,81.56,83.86,97.04,90.56,,91.85
Biswanath,93.58,99.98,99.55,99.47,0.92,98.41
Bhavnagar,51.38,57.63,91.79,96.95,30.24,70.07
Dakshin Kannad,23.55,74.88,68.32,52.02,31.75,85.33
Dhar,59.3,64.69,87.9,63.6,71.23,55.21
Sirohi,4.18,1.64,97.26,94.79,,84.67
Hyderabad,0.0,0.0,0.0,0.0,0.0,0.0
Solapur,35.88,11.51,93.06,53.14,41.05,35.56
Nagaon,99.68,99.69,98.98,88.74,4.43,99.8
Dantewada,39.61,89.64,92.59,95.23,88.53,47.49
Ludhiana,85.4,90.82,99.41,54.28,100.0,76.1
Baran,79.39,81.21,99.41,94.36,,44.11
Nalgonda,70.91,60.17,97.09,81.04,67.61,84.4
Koppal,32.54,81.08,96.58,96.4,92.98,73.81
Ghaziabad,78.64,79.5,96.57,93.11,39.98,83.98
Burhanpur,45.15,36.84,87.5,72.4,61.57,51.24
Baleshwar,57.04,,,,56.01,23.39
Kheda,65.87,81.8,94.29,99.74,61.5,40.66
Mayurbhanj,11.39,100.0,100.0,100.0,7.27,1.11
Sonepur,100.0,100.0,100.0,100.0,50.0,100.0
Ramanagara,35.82,63.97,87.56,88.8,0.82,52.94
Amroha,72.01,73.7,90.06,82.13,59.69,57.33
Osmanabad,26.05,28.75,98.43,95.89,49.82,12.17
BHADOHI,65.4,76.12,94.5,96.62,95.35,59.57
Cachar,89.85,99.55,99.98,99.59,0.06,99.59
Rajnandgaon,52.85,77.0,90.06,97.27,51.48,75.2
Jagatsinghapur,66.2,100.0,100.0,75.0,22.02,54.21
Bhadrak,100.0,80.0,100.0,100.0,80.0,92.86
Gwalior,48.4,69.77,93.71,93.38,70.84,86.39
Una,88.79,68.01,91.46,42.69,100.0,100.0
Jalgaon,53.25,53.48,94.56,91.08,74.57,39.12
SURYAPET,75.69,55.17,97.6,80.97,75.88,88.43
Girsomnath,38.62,89.98,80.32,80.85,26.04,91.23
Fazilka,80.79,82.83,99.81,54.0,50.0,96.69
Kaushambi,70.33,85.63,94.62,90.26,82.52,89.54
Pudukkottai,58.83,59.57,95.71,96.52,65.88,60.43
Deogarh,45.63,100.0,100.0,100.0,4.68,75.0
Karaikal,86.41,97.99,100.0,98.32,100.0,
Budaun,51.64,57.93,88.56,56.93,49.34,47.34
Jamnagar,70.47,90.2,98.82,93.64,40.45,85.63
Tiruppur,89.43,74.75,99.51,65.3,80.83,87.95
Gadchiroli,34.09,45.02,96.75,92.77,61.39,40.65
Rupnagar,93.95,95.7,98.96,54.3,100.0,91.6
Sagar,74.78,90.65,99.36,94.99,83.77,79.82
Dharmapuri,88.13,13.49,94.89,90.48,45.38,50.26
Mungeli,75.27,83.78,98.42,98.03,95.78,74.73
Diu,46.67,10.67,67.57,56.34,37.33,82.67
Samastipur,3.67,4.28,4.34,4.26,2.23,24.84
Dang,97.32,99.47,97.86,100.0,86.35,64.12
Saraikela Kharsawan,75.09,82.11,95.46,75.19,64.6,63.68
Champhai,76.92,100.0,100.0,100.0,100.0,37.5
Banswara,29.26,40.46,87.08,90.44,,98.42
Sepahijala,85.28,98.71,99.7,98.47,88.18,96.29
Saran,93.31,94.77,98.84,99.71,74.13,94.19
Washim,23.71,17.1,99.86,98.61,86.48,17.59
Rewa,55.5,55.55,91.9,85.43,94.12,90.64
Kozhikode,86.9,98.37,91.15,94.68,42.2,42.04
Barwani,84.7,54.12,98.26,68.89,87.44,74.4
Davangere,53.67,69.64,98.68,98.92,26.12,83.16
Serchhip,,,,,,100.0
Mahasamund,77.75,98.64,99.74,99.7,94.72,60.79
Rohtak,43.19,62.44,93.61,57.42,47.85,84.81
Baramulla,86.95,97.71,99.67,71.16,10.22,80.24
Rayagada,67.11,97.56,92.59,83.95,85.4,72.8
Ratlam,97.67,97.58,99.17,98.76,99.0,98.93
Bengaluru Urban,38.86,40.15,86.26,88.01,12.03,27.68
Bargarh,61.71,97.82,98.77,95.31,35.17,37.38
Solan,75.69,94.88,96.61,47.35,77.78,99.81
Karimnagar,72.96,53.0,96.75,79.88,70.97,69.32
Hamirpur,66.38,67.04,94.59,79.97,3.08,73.13
Hisar,69.12,43.55,97.54,70.92,70.44,97.31
Basti,5.01,94.13,99.88,87.94,38.03,26.44
Mirzapur,81.62,82.99,99.52,98.12,4.96,98.85
Raigarh,67.77,99.22,98.38,98.72,97.08,35.89
Kiphire,27.49,100.0,80.58,94.5,,99.83
Vellore,68.68,20.77,96.72,38.38,39.62,68.44
Khammam,37.79,24.67,82.2,57.16,72.34,83.16
Dumka,97.02,98.01,100.0,97.9,53.63,99.75
MEDCHAL MALKAJGIRI,63.64,26.75,91.6,52.0,96.87,74.36
Aurangabad,28.16,17.04,98.49,86.72,41.61,93.8
Karbi Anglong,96.0,99.57,99.86,99.62,3.86,93.62
Bokaro,74.39,96.4,97.84,98.74,48.27,79.44
Surajpur,72.95,98.58,99.57,99.76,95.55,99.07
Gonda,93.55,81.11,98.32,82.78,31.68,64.87
Rampur,74.4,68.39,92.82,73.96,53.34,70.62
Yamunanagar,91.1,92.92,99.0,82.72,82.27,94.07
Uttar Kashi,94.9,95.06,96.75,87.52,63.44,39.82
Sambalpur,40.83,87.5,100.0,100.0,16.7,38.44
Karur,87.22,22.25,99.88,81.82,87.28,31.53
Sitamarhi,98.35,99.85,99.9,99.9,0.83,0.93
Ramanathapuram,28.48,76.54,94.35,90.41,14.38,89.09
Ri Bhoi,64.0,93.94,89.16,80.59,50.0,0.0
Unnao,95.81,91.8,99.51,95.58,95.5,97.54
Erode,74.77,45.71,97.72,55.37,18.08,17.35
Shimoga,55.33,95.59,99.12,98.58,91.12,67.68
Sundargarh,100.0,100.0,100.0,100.0,0.0,90.91
Sikar,60.16,45.93,94.22,90.71,,99.09
Dhamtari,64.33,98.73,99.75,99.32,69.54,26.57
Koderma,61.88,96.17,100.0,99.62,75.48,91.2
Amethi,51.3,22.33,97.56,31.09,70.08,36.35
Bishnupur,68.72,92.82,82.56,93.85,72.31,41.54
Latehar,96.55,100.0,100.0,100.0,95.65,48.22
Villupuram,71.24,38.26,99.32,92.89,14.43,43.35
Morena,60.12,92.51,95.31,98.7,83.94,57.19
Wokha,64.77,100.0,99.87,89.77,98.37,93.06
Lucknow,94.44,97.53,99.81,98.8,63.52,90.08
Nashik,68.52,34.77,99.35,90.18,37.96,69.8
Hassan,22.52,45.4,77.38,78.35,58.88,90.69
Pathanamthitta,96.94,96.58,64.17,96.38,43.51,14.06
Imphal East,57.31,96.44,66.8,96.44,25.69,47.83
East Khasi Hills,71.91,81.65,90.68,57.9,87.5,23.53
East Singhbum,60.4,94.39,87.45,86.58,51.99,86.51
Pratapgarh,92.23,88.9,99.64,92.51,82.02,90.54
MANCHERIAL,56.0,76.72,92.31,94.19,79.92,86.97
Bharatpur,37.93,78.29,96.47,99.12,,93.84
Dhule,80.35,55.15,99.98,99.58,76.1,64.32
Coimbatore,72.71,56.06,98.09,68.17,46.6,50.96
Pithoragarh,86.34,95.78,95.75,92.68,50.69,79.32
Kanpur Nagar,75.78,98.78,99.35,83.55,87.37,80.01
Gomati,72.99,99.68,98.66,99.74,79.82,92.54
Madhubani,96.86,92.36,98.37,94.68,7.96,14.22
Bagalkot,20.38,1.73,98.15,77.13,61.21,88.79
Rajkot,52.45,64.98,94.49,98.94,10.34,67.24
Theni,33.96,28.28,97.02,49.28,78.35,63.16
Barpeta,89.47,97.73,99.66,95.84,29.56,85.47
JANGOAN,31.36,41.6,60.85,57.39,43.01,69.07
Gurgaon,78.53,78.73,94.55,74.95,36.91,94.29
North Tripura,72.95,99.46,98.63,98.53,70.43,92.71
Muzaffarnagar,75.31,94.04,99.73,92.96,94.28,58.05
Mau,85.82,81.15,99.77,86.42,91.53,1.1
Saharsa,0.13,0.32,0.34,0.28,0.18,5.96
Simdega,60.32,99.43,99.58,99.61,66.42,99.55
Nawanshahr,88.94,96.73,99.95,76.63,100.0,70.99
NAGARKURNOOL,70.66,59.57,81.64,69.89,72.84,83.13
Baghpat,67.76,57.52,94.73,73.72,88.09,76.97
Kathua,88.11,78.63,93.87,88.95,62.26,79.09
West Khasi Hills,51.34,96.68,78.63,59.0,100.0,0.0
Lunglei,100.0,100.0,,,100.0,
YADADRI BHUVANAGIRI,58.18,49.33,94.98,69.95,69.37,76.22
Srinagar,75.98,74.73,98.74,43.01,64.29,33.33
Krishna,78.62,82.02,98.05,95.23,65.78,98.56
Bulandshahr,59.41,54.6,95.86,65.01,89.74,82.46
KUMURAM BHEEM ASIFABAD,73.21,79.11,97.03,91.66,85.19,93.95
Sheikhpura,0.25,0.27,0.5,0.43,0.21,0.14
Mon,68.38,99.93,99.86,93.48,0.0,100.0
Mangan,73.02,22.22,99.21,3.97,6.35,1.59
Golaghat,97.42,99.91,99.98,99.77,0.48,99.52
West Kameng,93.44,100.0,80.33,91.26,,1.64
Badgam,15.94,34.75,42.15,31.3,28.57,47.62
Amreli,62.5,55.13,88.42,88.35,38.23,83.34
Papum Pare,63.77,91.62,84.68,50.74,0.0,15.61
Ballia,86.73,85.14,99.78,95.95,95.7,27.05
Jamtara,57.43,96.26,98.46,98.93,57.69,82.54
Karauli,44.43,52.21,93.69,94.43,,76.39
Senapati,,,,,,
Agar Malwa,40.81,62.47,81.13,79.29,58.42,52.13
Cuttack,69.46,25.0,50.0,0.0,50.85,0.84
West Jaintia Hills,84.48,77.59,87.93,96.55,77.59,45.16
Tonk,66.03,56.71,97.95,93.99,,96.4
Bharuch,62.44,81.53,93.67,99.64,63.43,71.56
Sonitpur,99.85,99.9,99.97,95.47,0.08,99.92
Barmer,27.94,25.77,92.8,91.48,,78.67
Sukma,7.7,68.53,76.32,96.92,8.42,7.08
Bageshwar,97.15,98.95,99.49,97.34,95.83,87.87
Salem,81.74,97.86,99.69,94.17,65.56,58.75
Tinsukia,99.93,99.9,99.97,89.28,0.77,99.9
North And Middle Andaman,93.36,100.0,83.19,100.0,90.78,0.23
Panch Mahals,45.49,81.67,84.29,99.76,78.73,19.63
Chirang,99.96,99.91,100.0,93.21,1.65,99.78
Pali,35.77,32.7,98.15,98.92,,92.68
Tamenglong,,,,,,
Bilaspur,67.45,92.95,99.71,84.7,99.83,99.77
Shopian,65.88,98.72,97.01,89.94,93.7,94.93
Kamrup Metro,99.88,99.97,100.0,99.94,0.15,99.94
Umaria,49.74,71.37,98.26,95.05,97.89,87.28
Bhind,8.27,91.87,97.87,98.25,58.36,55.15
Chikmagalur,46.47,82.4,98.01,98.01,21.41,67.0
Pathankot,95.27,96.75,99.57,70.49,96.1,87.53
Kapurthala,88.55,92.5,99.72,33.82,,86.68
Maldah,98.56,93.78,97.61,68.6,81.34,44.98
